                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.89763,                0.63032,                 1.1029,                0.95293,                0.90741,                0.95531,                0.77446,                0.75607,                0.57165,                 1.0757,             0.00061461,             0.00061461,             0.00061461
                    121,                0.87667,                0.64291,                 1.1155,                0.97229,                0.91495,                0.96658,                0.77922,                0.78694,                0.57725,                 1.0712,             0.00061417,             0.00061417,             0.00061417
                    122,                0.86575,                0.62038,                 1.1024,                0.97546,                 0.8972,                0.95688,                0.79128,                0.75488,                 0.5911,                 1.0615,             0.00061373,             0.00061373,             0.00061373
                    123,                 0.8746,                0.64056,                  1.121,                0.97148,                0.90402,                0.96108,                0.79324,                0.76404,                0.56326,                 1.0615,             0.00061329,             0.00061329,             0.00061329
                    124,                0.86671,                0.61365,                 1.0974,                0.98121,                0.90874,                0.96706,                 0.7948,                0.72509,                0.55269,                 1.0497,             0.00061285,             0.00061285,             0.00061285
                    125,                0.82547,                0.59661,                 1.0871,                0.97737,                0.87816,                0.96368,                0.77774,                0.74961,                0.54743,                 1.0482,             0.00061241,             0.00061241,             0.00061241
                    126,                0.85372,                0.63008,                 1.0979,                0.92615,                0.94065,                0.96976,                0.78902,                0.71806,                 0.5416,                 1.0475,             0.00061197,             0.00061197,             0.00061197
                    127,                0.88265,                0.61996,                  1.093,                0.95625,                0.93131,                0.96828,                0.80052,                0.72126,                0.54184,                 1.0426,             0.00061153,             0.00061153,             0.00061153
                    128,                0.84595,                0.60198,                 1.0893,                0.98103,                0.91843,                0.96353,                0.78911,                0.75442,                0.60405,                 1.0556,             0.00061109,             0.00061109,             0.00061109
                    129,                0.87644,                0.61849,                 1.0865,                0.96067,                0.93324,                0.96146,                0.78003,                 0.7677,                0.56134,                 1.0532,             0.00061065,             0.00061065,             0.00061065
                    130,                0.89283,                0.63827,                 1.1228,                0.96546,                0.90935,                0.96706,                0.78715,                0.74411,                0.53446,                 1.0511,             0.00061021,             0.00061021,             0.00061021
                    131,                0.81343,                0.58264,                  1.069,                0.97052,                0.91555,                 0.9649,                0.79319,                0.71713,                0.53299,                 1.0452,             0.00060977,             0.00060977,             0.00060977
                    132,                0.84247,                0.61835,                 1.1027,                0.94612,                0.90556,                0.95657,                0.78648,                0.73039,                0.54212,                 1.0428,             0.00060933,             0.00060933,             0.00060933
                    133,                0.79604,                0.57106,                 1.0679,                0.96671,                0.90423,                0.96038,                0.79638,                0.70843,                0.54505,                 1.0383,             0.00060889,             0.00060889,             0.00060889
